node,intron density (kbp CDS)
286,0.4171118012
285,0.4469875776
288,0.4228571429
290,0.448136646
289,0.4492857143
287,0.4895031056
284,0.5170807453
291,0.4194099379
283,0.5067391304
292,0.3470186335
282,0.5009937888
281,0.6159006211
280,0.6813975155
295,0.8388198758
300,0.6308385093
299,0.7560869565
298,0.7951552795
297,0.8192857143
302,0.8526086957
301,0.8790372671
296,0.9364906832
294,0.967515528
306,0.8709937888
305,0.8790372671
304,0.9353416149
312,0.7951552795
311,0.8480124224
315,0.7802173913
314,0.8422670807
318,0.7917080745
317,0.8480124224
316,0.9031677019
313,0.999689441
310,1.064037267
309,1.07552795
308,1.085869565
320,0.7319565217
319,0.7652795031
307,1.090465839
303,1.207670807
293,1.293850932
279,1.415652174
278,1.683385093
327,0.6951863354
328,0.6917391304
326,0.7308074534
325,0.8054968944
330,0.7687267081
329,0.7974534161
324,0.9491304348
323,1.036459627
322,1.092763975
333,0.3435714286
338,0.3757453416
337,0.3929813665
336,0.3791925466
335,0.4182608696
339,0.4010248447
334,0.4561801242
332,0.4986956522
331,0.7101242236
321,1.284658385
277,1.989037267
344,0.6204968944
343,0.700931677
342,0.7331055901
345,0.6250931677
341,0.7652795031
350,0.6181987578
349,0.6457763975
354,0.6216459627
353,0.6538198758
352,0.6779503106
351,0.7411490683
348,0.7836645963
357,0.5285714286
356,0.6515217391
363,0.6193478261
362,0.6411801242
361,0.6664596273
365,0.4665217391
364,0.5527018634
360,0.7273602484
368,0.6503726708
370,0.6044099379
369,0.6354347826
367,0.7193167702
372,0.6124534161
371,0.6549689441
366,0.7882608696
359,0.8698447205
377,0.5779813665
376,0.5986645963
375,0.6147515528
374,0.665310559
373,0.6951863354
358,0.9031677019
355,0.9652173913
347,1.095062112
384,0.3619565217
383,0.4435403727
382,0.558447205
386,0.5952173913
385,0.6250931677
381,0.6928881988
387,0.6055590062
380,0.8307763975
391,0.7296583851
390,0.772173913
389,0.7147204969
388,0.700931677
379,0.9410869565
392,0.6997826087
378,1.047950311
346,1.272018634
340,1.231801242
276,2.211956522
395,0.1872981366
402,0.01378881988
401,0.01378881988
406,0.006894409938
408,0.006894409938
407,0.01034161491
405,0.01149068323
404,0.01608695652
403,0.02183229814
400,0.02413043478
410,0.001149068323
409,0.001149068323
399,0.02298136646
414,0.0149378882
413,0.01723602484
412,0.04251552795
411,0.0448136646
398,0.0597515528
397,0.06204968944
416,0.03102484472
421,0.003447204969
423,0
422,0.003447204969
420,0.003447204969
419,0.003447204969
425,0.002298136646
426,0.004596273292
424,0.004596273292
418,0.004596273292
417,0.004596273292
415,0.03102484472
396,0.07813664596
394,0.2309627329
393,1.111149068
275,2.669285714
429,2.029254658
431,0.1401863354
434,0.4182608696
433,0.4573291925
432,2.345248447
430,2.37742236
428,3.055372671
436,1.786801242
438,1.61673913
437,1.585714286
435,2.033850932
427,3.682763975
274,4.449192547
452,4.546863354
451,4.715776398
453,3.944751553
450,4.847919255
454,4.253850932
449,4.927204969
448,5.031770186
455,4.607763975
447,5.154720497
461,4.246956522
463,3.964285714
462,4.399782609
460,4.970869565
459,5.169658385
466,4.658322981
469,4.508944099
468,4.696242236
467,4.78242236
465,4.97431677
464,5.035217391
458,5.438540373
457,5.405217391
473,2.773850932
472,4.48826087
471,4.767484472
470,4.918012422
456,5.514378882
446,5.666055901
445,5.531614907
444,5.55689441
475,5.093819876
474,5.396024845
443,6.038354037
477,3.243819876
476,4.485962733
442,5.684440994
478,1.577670807
441,5.104161491
481,0.4182608696
480,0.4665217391
487,0.8801863354
486,1.430590062
485,2.61757764
484,2.851987578
483,2.811770186
492,0.1034161491
495,0.1126086957
496,0.08158385093
494,0.1206521739
493,0.1401863354
491,0.1482298137
490,0.1838509317
489,0.8307763975
488,1.031863354
482,3.055372671
479,2.350993789
440,5.298354037
499,4.312453416
498,4.153881988
503,3.48052795
502,3.754006211
501,3.726428571
500,3.231180124
497,4.364161491
439,5.626987578
273,5.439689441
507,2.118881988
506,2.498074534
505,3.321956522
504,4.156180124
272,5.128291925
271,4.465279503
270,4.323944099
508,3.786180124
269,4.326242236
516,0
515,0
514,0
518,0
517,0.001149068323
513,0.001149068323
519,0
512,0.001149068323
511,0.001149068323
522,0
521,0
520,0
510,0.001149068323
509,1.159409938
268,2.280900621
267,1.578819876
266,0.8836335404
